Ticker,Date,Ajuste
BBDC4,2021-10-04,-0.016128588
BBDC3,2021-10-04,-0.0146623521
ITUB4,2021-10-04,0.824587125
ITUB3,2021-10-04,0.813123878
ODER4,2021-10-05,-0.459
CPLE5,2021-10-05,-0.530419481
EEEL3,2021-10-05,0.5
EEEL4,2021-10-05,0.49999992572
ASAI3,2021-10-06,-0.03997841339
RAIZ4,2021-10-06,-0.01380321205
ABCB4,2021-10-07,-0.1972
WLMM3,2021-10-11,-0.064192
WLMM4,2021-10-11,-0.0706095
KEPL3,2021-10-13,-9.18111533
GPAR3,2021-10-15,-47.7166004452
CEBR3,2021-10-15,-57.58207389535
CEBR5,2021-10-15,-57.58207389535
CEBR6,2021-10-15,-63.3402812849
JHSF3,2021-10-15,-0.1834719203
SANB3,2021-10-18,-0.5562
SANB4,2021-10-18,-0.6344
CEBR3,2021-10-18,0.2
CEBR5,2021-10-18,0.2
CEBR6,2021-10-18,0.2
CRPG3,2021-10-18,-1.7230240435
CRPG5,2021-10-18,-1.7230240435
CRPG6,2021-10-18,-1.7230240435
LAVV3,2021-10-19,-0.57639309456
PSSA3,2021-10-21,0.5
AGRO3,2021-10-28,-2.621181215
BEES3,2021-11-01,-0.01614369229
BEES4,2021-11-01,-0.01614369229
BNBR3,2021-11-01,-1.68169770032
BNBR4,2021-11-01,-1.68169770032
COCE3,2021-11-01,-1.277369698
COCE5,2021-11-01,-1.277369698
COCE6,2021-11-01,-1.277369698
ITUB3,2021-11-01,-0.0150025
ITUB4,2021-11-01,-0.0150025
KLBN11,2021-11-01,-0.35204399516
KLBN3,2021-11-01,-0.07040879903
KLBN4,2021-11-01,-0.07040879903
PTNT3,2021-11-01,-0.20265052515
PTNT4,2021-11-01,-0.20265052515
PSSA3,2021-11-01,-0.23447191372
BBDC3,2021-11-03,-0.0146623521
BBDC4,2021-11-03,-0.01612858765
ALPA3,2021-11-04,-0.24398477064
ALPA4,2021-11-04,-0.2683832477
TRPL3,2021-11-04,-1.19316375
TRPL4,2021-11-04,-1.19316375
VULC3,2021-11-04,-0.35
SANB11,2021-11-05,-0.80425973734
SANB3,2021-11-05,-0.38298082731
SANB4,2021-11-05,-0.42127891003
CXSE3,2021-11-05,-0.24461284
LREN3,2021-11-05,0.909090909
MOAR3,2021-11-05,-24.487355178
GGBR3,2021-11-08,-1.59
GGBR4,2021-11-08,-1.59
GRND3,2021-11-08,-0.149262435
GOAU3,2021-11-08,-1.5335
GOAU4,2021-11-08,-1.5335
CIEL3,2021-11-09,-0.02353295157
RANI3,2021-11-09,-0.10133
TGMA3,2021-11-10,-0.24987762741
BEEF3,2021-11-11,-0.3488435008
SMTO3,2021-11-12,-1.4068975303000002
CRFB3,2021-11-16,-0.395197301
RADL3,2021-11-16,-0.10020279485
PEAB3,2021-11-17,-10.37591041
PEAB4,2021-11-17,-11.41350146
ENMT3,2021-11-17,-0.87016458879
ENMT4,2021-11-17,-0.87016458879
GGPS3,2021-11-17,-0.1872685014
JBSS3,2021-11-17,-1.0
MELK3,2021-11-17,-0.2077311181
MILS3,2021-11-18,-0.0700654411
MTRE3,2021-11-18,-0.11764100965
REDE3,2021-11-18,-0.18278040128
REDE4,2021-11-18,-0.18278040128
TFCO4,2021-11-18,-0.04415294228
UNIP3,2021-11-18,-2.98382016949
UNIP5,2021-11-18,-3.28220218644
UNIP6,2021-11-18,-3.28220218644
BPAR3,2021-11-19,-3.80952662635
EMAE3,2021-11-19,-0.42097195625
EMAE4,2021-11-19,-0.46306915145
TUPY3,2021-11-19,-0.120818704
TUPY4,2021-11-19,-0.120818704
ARML3,2021-11-22,-0.0672635129
MODL11,2021-11-22,-0.0669681
MODL3,2021-11-22,-0.0223227
MODL4,2021-11-22,-0.0223227
IGBR3,2021-11-22,10.0
ITUB3,2021-11-22,-0.22486835
ITUB4,2021-11-22,-0.22486835
PTBL3,2021-11-22,-0.5736
PFRM3,2021-11-22,-0.22998434903
BBAS3,2021-11-23,-0.33464767639
ITSA3,2021-11-24,-0.131512
ITSA4,2021-11-24,-0.131512
SEER3,2021-11-24,-0.123470217
WHRL3,2021-11-24,-0.3935099999999999
WHRL4,2021-11-24,-0.43286
EQMA3B,2021-11-26,-1.25
EQPA3,2021-11-26,-0.16
EQPA5,2021-11-26,-0.16
EQPA6,2021-11-26,-0.16
EQPA7,2021-11-26,-0.16
SHUL3,2021-11-26,-0.0316991265
SHUL4,2021-11-26,-0.03486903915
VITT3,2021-11-30,-0.08291325
BEES3,2021-12-01,-0.01614369229
BEES4,2021-12-01,-0.01614369229
CCRO3,2021-12-01,-0.07613868925
ITUB3,2021-12-01,-0.0150025
ITUB4,2021-12-01,-0.0150025
ITSA3,2021-12-01,-0.020000075
ITSA4,2021-12-01,-0.020000075
BBDC3,2021-12-02,-0.0146623521
BBDC4,2021-12-02,-0.01612858765
BSLI3,2021-12-02,-0.1888496648
BSLI4,2021-12-02,-0.2077346310499999
CAML3,2021-12-02,-0.0586994683
PETR3,2021-12-02,-3.09218285
PETR4,2021-12-02,-3.09218285
BMEB3,2021-12-03,0.5
BMEB4,2021-12-03,0.5
AFLT3,2021-12-06,-0.19044237351
ARZZ3,2021-12-06,-0.5515825027
BLAU3,2021-12-06,-0.10431591459
CEEB3,2021-12-06,-1.9403890019
CEEB5,2021-12-06,-1.9403890019
CSRN3,2021-12-06,-0.3490263148
CSRN5,2021-12-06,-0.3839289463
CSRN6,2021-12-06,-0.3839289463
MRVE3,2021-12-07,-0.162351039
FIQE3,2021-12-07,-0.0773967213
MTSA3,2021-12-07,-0.34
MTSA4,2021-12-07,-0.374
TAEE3,2021-12-07,-0.47672884357
TAEE4,2021-12-07,-0.47672884357
TAEE11,2021-12-07,-1.43018653072
BRGE6,2021-12-07,-0.23412
FESA3,2021-12-08,-0.19096694291
FESA4,2021-12-08,-0.2100636372
CURY3,2021-12-08,-0.1713061582
BRKM3,2021-12-09,-7.5390487919
BRKM5,2021-12-09,-7.5390487919
BRKM6,2021-12-09,-0.6060321401
PARD3,2021-12-09,-0.06703172831
JALL3,2021-12-09,-0.13184456165
RADL3,2021-12-09,-0.05482164373
VAMO3,2021-12-09,-0.1889290735
AURA33,2021-12-10,-1.9668
CEGR3,2021-12-10,-1.1441917595
CGAS3,2021-12-10,-11.04677685484
CGAS5,2021-12-10,-12.15145454034
CPFE3,2021-12-10,-0.697762553
BSLI3,2021-12-10,-0.1888496648
AMAR3,2021-12-13,-0.40979249025
BBAS3,2021-12-14,-0.14874258443
ITSA3,2021-12-14,-0.020000075
ITSA4,2021-12-14,-0.020000075
CSAN3,2021-12-15,-0.37461935
DXCO3,2021-12-15,-2.793565298
BRSR3,2021-12-16,-0.1454473165
BRSR5,2021-12-16,-0.1569251555
BRSR6,2021-12-16,-0.1454473165
USIM3,2021-12-16,-0.14910062585
USIM5,2021-12-16,-0.16401068835
USIM6,2021-12-16,-0.16401068835
ALLD3,2021-12-17,-0.25271354845
BEES3,2021-12-17,-0.03169763475
BEES4,2021-12-17,-0.03169763475
BRAP3,2021-12-17,-32.23053048
BRAP4,2021-12-17,-32.77997148
GRND3,2021-12-17,-0.079441975
MDIA3,2021-12-17,-0.0425
UCAS3,2021-12-17,-0.091715
CARD3,2021-12-20,-0.0826466611
RENT3,2021-12-20,-0.1097890294
MOAR3,2021-12-20,-6.01164569575
ODPV3,2021-12-20,-0.0201271075
OFSA3,2021-12-20,-0.2553655
RDOR3,2021-12-20,-0.08023065226
SYNE3,2021-12-20,-8.18896488503
WEGE3,2021-12-20,-0.0272
B3SA3,2021-12-21,-0.14945153
BBDC3,2021-12-21,-0.21330597845
BBDC4,2021-12-21,-0.23463657635
BPAC11,2021-12-21,-0.0576215085
BPAC13,2021-12-21,-0.0576215085
BPAC3,2021-12-21,-0.0192071695
BPAC5,2021-12-21,-0.0192071695
CLSC3,2021-12-21,-2.57317391224
CLSC4,2021-12-21,-2.83049130344
CLSC5,2021-12-21,-2.83049130344
EVEN3,2021-12-21,-0.07346972
FLRY3,2021-12-21,-0.08057406273
ITSA3,2021-12-21,0.95238095238
ITSA4,2021-12-21,0.95238095238
TIMS3,2021-12-21,-0.19666120965
CRPG3,2021-12-21,-0.70733901044
CRPG5,2021-12-21,-0.70733901044
CRPG6,2021-12-21,-0.70733901044
ABEV3,2021-12-20,-0.53307
BPAN4,2021-12-22,-0.18415590763
CMIG3,2021-12-22,-0.47969772602
CMIG4,2021-12-22,-0.47969772602
ETER3,2021-12-22,-0.205296811
EUCA3,2021-12-22,-0.2187134065
EUCA4,2021-12-22,-0.240584816
FRAS3,2021-12-22,-0.09115315
FRAS4,2021-12-22,-0.09115315
GUAR3,2021-12-22,-0.348245
GUAR4,2021-12-22,-0.348245
ROMI3,2021-12-22,-0.124865
LREN3,2021-12-22,-0.10956585
MRFG3,2021-12-22,-1.250217332
STBP3,2021-12-22,-0.2430088161299999
TFCO4,2021-12-22,-0.00753963019
UNIP3,2021-12-22,-4.47573025423
UNIP5,2021-12-22,-4.923303279660001
UNIP6,2021-12-22,-4.923303279660001
BOAS3,2021-12-23,-0.05621403197
TRPL3,2021-12-23,-0.1478116
TRPL4,2021-12-23,-0.1478116
CGRA3,2021-12-23,-0.6160596
CGRA4,2021-12-23,-0.6160596
LJQQ3,2021-12-23,-0.10438124364
MELK3,2021-12-23,-0.06924370605
RAPT3,2021-12-23,-0.1309425
RAPT4,2021-12-23,-0.1309425
SLED3,2021-12-23,35.0
SLED4,2021-12-23,35.0
SIMH3,2021-12-23,-0.0893456726
JSLG3,2021-12-27,-0.1352350799
PETZ3,2021-12-27,-0.01953762873
BMGB4,2021-12-28,-0.26818418033
DASA3,2021-12-28,-0.25605895336
PNVL3,2021-12-28,-0.11445320125
HAPV3,2021-12-28,-0.0045668409
MYPK3,2021-12-28,-0.85472022
SULA11,2021-12-28,-0.19102673066
SULA3,2021-12-28,-0.06367557688
SULA4,2021-12-28,-0.06367557688
VIVT3,2021-12-28,-1.30252260191
VIVA3,2021-12-28,-0.23391414845
LCAM3,2021-12-29,-0.10158186826
VVEO3,2021-12-29,-0.21131425
HYPE3,2021-12-29,-0.2624885
POMO3,2021-12-29,-0.03145
POMO4,2021-12-29,-0.03145
MULT3,2021-12-29,-0.42406506304
TOTS3,2021-12-29,-0.1105
BSLI3,2021-12-30,-3.25758112052
BSLI4,2021-12-30,-1.78565015533
CIEL3,2021-12-30,-0.07416970751
CMIN3,2021-12-30,-0.07336257914
EGIE3,2021-12-30,-0.06250553515
MOVI3,2021-12-30,-0.10656885965
PRNR3,2021-12-30,-0.04608146735
TUPY3,2021-12-30,-0.13067721526
TUPY4,2021-12-30,-0.13067721526
